,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind speed
58,Fomboni,63,KM,1563909079,74,-12.28,43.74,74.68,14.56
59,Kaspiyskiy,99,RU,1563909079,47,45.39,47.37,78.64,6.4
60,Pijino,100,CO,1563909080,75,9.33,-74.45,83.14,4.68
61,Kavaratti,99,IN,1563908993,76,10.57,72.64,82.78,20.56
62,Porto de Moz,28,BR,1563908805,51,-1.75,-52.24,88.72,3.38
63,Sorland,0,NO,1563909080,82,67.67,12.69,60.8,5.82
64,Krasnozerskoye,100,RU,1563909080,67,53.98,79.24,63.16,6.87
65,Souillac,75,MU,1563909080,88,-20.52,57.52,69.8,13.87
66,Wuda,15,CN,1563909081,28,39.5,106.72,75.76,11.86
67,Punta Arenas,75,CL,1563909081,69,-53.16,-70.91,39.2,8.05
68,Hofn,100,IS,1563909081,94,64.25,-15.21,40.84,6.22
69,Olavarria,73,AR,1563909081,38,-36.89,-60.32,53.01,5.75
70,Concordia,100,AR,1563909082,97,-31.4,-58.02,51.01,5.01
71,Bubaque,92,GW,1563909082,83,11.28,-15.83,79.54,12.41
72,Acajutla,54,SV,1563909082,65,13.59,-89.83,84.22,6.04
73,Vao,1,NC,1563909082,60,-22.67,167.48,66.94,14.85
74,Thompson,40,CA,1563909082,35,55.74,-97.86,87.8,11.41
75,Yeniseysk,50,RU,1563909083,82,58.45,92.17,52.0,1.36
76,Arkhipo-Osipovka,43,RU,1563909083,86,44.37,38.53,67.48,4.25
77,Changtu,87,CN,1563909083,96,42.78,124.11,72.88,10.78
78,Ipixuna,40,BR,1563909083,52,-1.76,-48.8,89.6,10.29
79,Ust-Shonosha,74,RU,1563909083,92,61.15,41.34,50.56,3.8
80,Mahebourg,75,MU,1563908969,88,-20.41,57.7,69.8,13.87
81,Sembakung,99,ID,1563909084,98,3.82,117.25,73.24,1.59
82,Albany,90,AU,1563909084,82,-35.02,117.88,55.4,9.17
83,Terrace Bay,20,CA,1563909084,49,48.78,-87.1,69.8,3.36
84,Zima,100,RU,1563909084,93,53.93,102.05,59.74,4.03
85,Rena,17,NO,1563909084,85,61.13,11.37,62.01,4.79
86,Makat,55,KZ,1563909085,21,47.65,53.35,84.4,15.14
87,Vilyuysk,0,RU,1563909085,45,63.75,121.63,58.12,3.09
88,Muli,38,MV,1563909085,77,2.92,73.57,83.14,7.85
89,Valera,100,VE,1563909034,68,9.31,-70.61,85.84,8.79
90,Kavieng,99,PG,1563909085,76,-2.57,150.8,82.42,12.35
91,Zwedru,67,LR,1563909085,93,6.07,-8.13,74.14,4.94
92,Naifaru,76,MV,1563909046,74,5.44,73.37,82.96,12.66
93,Laupheim,0,DE,1563909086,53,48.23,9.88,84.99,6.93
94,West Wendover,1,US,1563908985,16,40.74,-114.07,91.4,5.82
95,Aykhal,97,RU,1563909086,37,65.95,111.51,68.0,4.47
96,Tigil,0,RU,1563909086,82,57.8,158.67,36.52,4.21
97,Asyut,0,EG,1563909086,33,27.18,31.19,91.4,9.17
98,Coihaique,40,CL,1563909087,65,-45.58,-72.07,48.2,4.7
99,Goundam,41,ML,1563909087,27,16.42,-3.66,100.42,1.66
100,Kasongo,0,CD,1563909087,29,-4.43,26.67,80.44,0.85
101,Lucapa,0,AO,1563909087,22,-8.42,20.74,71.26,2.15
102,Kainantu,47,PG,1563909087,98,-6.29,145.87,55.06,0.83
103,Barcelos,0,BR,1563909088,53,-0.97,-62.93,89.08,5.41
104,Inhambane,0,MZ,1563909088,67,-23.87,35.38,62.26,10.96
105,Ferkessedougou,55,CI,1563909088,82,9.6,-5.2,79.0,7.4
106,Sao Filipe,18,CV,1563909088,83,14.9,-24.5,74.86,20.74
107,Petropavlovka,100,RU,1563909089,99,50.61,105.32,53.44,5.7
108,Fare,98,PF,1563909090,82,-16.7,-151.02,78.82,16.13
109,Am Timan,5,TD,1563909090,84,11.04,20.28,75.4,5.44
110,Leua,4,AO,1563909090,29,-11.65,20.45,62.98,3.22
111,Tuatapere,0,NZ,1563909091,98,-46.13,167.69,35.01,1.99
112,Kaitangata,6,NZ,1563909024,85,-46.28,169.85,41.0,4.0
113,Harper,84,LR,1563909091,80,4.38,-7.71,77.02,11.81
114,Najran,20,SA,1563909091,14,17.54,44.22,93.2,6.93
115,Douentza,71,ML,1563909091,37,15.01,-2.95,93.4,3.87
116,Antofagasta,75,CL,1563909004,67,-23.65,-70.4,57.2,17.22
117,Loa Janan,51,ID,1563909092,91,-0.58,117.09,71.8,3.06
118,Tiksi,100,RU,1563909092,74,71.64,128.87,39.76,10.38
119,Tototlan,75,MX,1563909092,53,20.55,-102.8,75.2,4.7
120,Labuhan,93,ID,1563909092,81,-2.54,115.51,70.0,1.43
121,Barra Patuca,7,HN,1563909092,73,15.8,-84.28,82.42,8.86
122,Chisinau,0,MD,1563909020,56,47.01,28.86,69.8,6.93
123,Ilulissat,75,GL,1563909093,53,69.22,-51.1,51.8,6.93
124,Sampit,84,ID,1563909093,95,-2.54,112.95,70.9,2.13
125,Kyzyl-Suu,45,KG,1563909093,66,42.34,78.0,70.72,11.32
126,Shitanjing,0,CN,1563909094,47,39.23,106.34,69.01,1.01
127,Bredasdorp,34,ZA,1563909094,71,-34.53,20.04,53.6,12.75
128,Kloulklubed,90,PW,1563909094,94,7.04,134.26,75.2,6.93
129,Deputatskiy,96,RU,1563909094,46,69.3,139.9,49.12,7.56
130,Kalmunai,99,LK,1563909095,78,7.42,81.82,77.38,1.39
131,Huarmey,100,PE,1563909095,86,-10.07,-78.15,62.26,17.38
132,Singaraja,20,ID,1563909095,69,-8.11,115.08,78.28,7.81
133,Polewali,0,ID,1563909095,72,-4.03,119.8,77.2,22.17
134,Poum,2,NC,1563909095,69,-20.23,164.02,68.92,18.81
135,Cherskiy,100,RU,1563909096,84,68.75,161.3,40.12,12.21
136,Sur,0,OM,1563909096,82,22.57,59.53,78.82,7.0
137,Sioux Lookout,75,CA,1563909096,57,50.1,-91.92,77.0,8.05
138,Ostersund,45,SE,1563909004,68,63.18,14.64,64.4,4.7
139,Tura,100,IN,1563909097,95,25.52,90.21,77.92,9.48
140,Mitu,74,CO,1563909097,49,1.2,-70.17,91.78,0.34
141,Rantauprapat,84,ID,1563909059,93,2.1,99.83,64.6,3.65
142,Hobyo,82,SO,1563909097,69,5.35,48.53,77.92,26.69
143,Nhulunbuy,61,AU,1563909097,88,-12.18,136.78,69.8,6.93
144,Vaitape,97,PF,1563909097,85,-16.52,-151.75,79.18,14.67
145,Mercedes,100,AR,1563909098,95,-29.18,-58.08,53.62,13.62
146,Kobryn,16,BY,1563909098,75,52.21,24.36,65.5,6.87
147,Sao Joao da Barra,20,BR,1563909098,61,-21.64,-41.05,78.8,20.8
148,Mgachi,100,RU,1563909098,96,51.05,142.27,57.4,19.44
149,Beidao,70,CN,1563909098,60,34.57,105.89,66.04,7.09
150,Khatanga,83,RU,1563909099,64,71.98,102.47,46.24,8.75
151,Isangel,75,VU,1563909099,82,-19.55,169.27,64.4,6.93
152,Leh,9,IN,1563909099,30,34.16,77.58,52.18,2.04
153,Bonthe,100,SL,1563909099,91,7.53,-12.5,74.5,13.11
154,Madison,20,US,1563908896,44,43.07,-89.38,80.01,12.75
155,Markova,40,RU,1563909100,100,52.21,104.21,64.4,2.24
156,Dudinka,0,RU,1563909100,87,69.41,86.18,57.2,17.9
157,Limbazi,7,LV,1563909100,87,57.51,24.72,64.0,1.01
158,Izberbash,40,RU,1563909100,69,42.57,47.86,77.0,4.47
159,Oriximina,1,BR,1563909100,46,-1.77,-55.87,91.42,9.51
160,Vila Velha,0,BR,1563909101,58,-3.71,-38.6,82.4,16.11
161,Abalak,32,NE,1563909101,32,15.46,6.28,94.3,7.56
162,Cullera,0,ES,1563909101,33,39.16,-0.25,88.0,6.93
163,Talnakh,0,RU,1563909101,87,69.49,88.39,57.2,17.9
164,Koungheul,55,SN,1563909101,29,13.98,-14.8,99.34,4.97
165,Indian Harbour Beach,40,US,1563909102,70,28.15,-80.59,91.99,7.83
166,Seoul,90,KR,1563909102,100,37.57,126.98,80.6,1.12
167,Bojnurd,0,IR,1563909102,50,37.47,57.33,78.8,4.7
168,Lebu,1,CL,1563909102,71,-37.62,-73.65,50.92,32.23
169,Adrar,0,DZ,1563909103,10,27.87,-0.29,109.4,11.41
170,Karangampel,63,ID,1563909103,79,-6.46,108.44,71.98,2.3
171,Cedartown,90,US,1563909103,74,34.01,-85.26,82.0,16.11
172,Basmat,94,IN,1563909103,66,19.33,77.16,84.04,12.95
173,Neuquen,0,AR,1563908933,39,-38.95,-68.06,50.0,11.41
174,Rawson,0,AR,1563908826,44,-43.3,-65.11,48.94,14.09
175,Steinbach,40,CA,1563909104,39,49.53,-96.69,82.99,3.36
176,Suoyarvi,100,RU,1563909104,75,62.08,32.35,57.04,9.62
177,Corinth,20,US,1563909104,37,33.15,-97.06,90.0,12.75
178,Kulhudhuffushi,92,MV,1563909104,76,6.62,73.07,82.78,13.53
179,Kuala Terengganu,75,MY,1563909104,88,5.33,103.14,77.0,4.7
180,Tasiilaq,40,GL,1563909105,65,65.61,-37.64,46.4,13.87
181,Road Town,20,VG,1563909076,62,18.42,-64.62,87.8,11.41
182,Grand Gaube,75,MU,1563909105,88,-20.01,57.66,69.8,13.87
183,Saryozek,0,KZ,1563909105,29,44.36,77.98,70.54,2.28
184,Kanigoro,30,ID,1563909105,95,-8.13,112.22,66.76,5.39
185,Huari,44,PE,1563909105,38,-9.35,-77.17,52.0,2.57
186,Kajaani,0,FI,1563909106,60,64.22,27.73,68.0,2.24
187,Porbandar,93,IN,1563909106,85,21.64,69.61,83.86,18.79
188,Zalantun,100,CN,1563909106,98,48.0,122.72,62.62,3.22
189,Andros Town,40,BS,1563909106,66,24.73,-77.79,89.01,12.75
190,Necochea,0,AR,1563909106,42,-38.55,-58.74,55.0,1.99
191,Artyom,0,AZ,1563909066,61,40.47,50.33,78.8,14.99
192,Bondoukou,28,CI,1563909107,91,8.04,-2.8,76.3,2.68
193,Sol-Iletsk,0,RU,1563909107,70,51.16,55.0,64.96,5.99
194,Vega de Alatorre,56,MX,1563909107,54,20.03,-96.65,88.72,2.28
195,Syamzha,31,RU,1563909107,88,60.02,41.06,54.16,4.34
196,Zhigalovo,100,RU,1563909108,54,54.81,105.15,64.42,2.06
197,Lakes Entrance,20,AU,1563909108,77,-37.88,147.99,43.0,12.62
198,Vitim,88,RU,1563909108,62,59.44,112.57,57.76,4.61
199,Severo-Yeniseyskiy,11,RU,1563909108,93,60.37,93.04,52.0,3.27
200,Srednekolymsk,100,RU,1563909108,68,67.46,153.71,42.28,13.73
201,Ushuaia,75,AR,1563909097,74,-54.81,-68.31,35.6,29.97
202,Agirish,97,RU,1563909109,62,61.92,63.02,64.96,7.76
203,Nikolskoye,20,RU,1563909109,49,59.7,30.79,71.6,3.18
204,Dingle,40,IE,1563909109,77,52.14,-10.27,66.2,12.75
205,Tyshkivka,61,UA,1563909109,86,50.76,32.34,60.64,4.99
206,Moussoro,26,TD,1563909110,41,13.64,16.49,92.14,7.85
207,Cariati,0,IT,1563909110,48,39.5,16.95,82.99,4.7
208,Hithadhoo,99,MV,1563909110,76,-0.6,73.08,83.32,7.61
209,Sibolga,100,ID,1563909110,73,1.74,98.78,82.96,3.76
210,Makakilo City,75,US,1563909110,83,21.35,-158.09,84.0,11.41
211,Saskylakh,84,RU,1563909110,79,71.97,114.09,46.06,2.93
212,Zhuhai,20,CN,1563909111,83,40.71,112.04,69.8,4.47
213,Port Lincoln,7,AU,1563909111,76,-34.72,135.86,57.94,16.13
214,Brownsville,75,US,1563909111,83,25.91,-97.49,93.2,9.17
215,Kaka,0,TM,1563909111,11,37.35,59.62,90.88,7.61
216,Tibati,100,CM,1563909111,95,6.47,12.63,67.84,0.69
217,Zyryanka,76,RU,1563909112,67,65.73,150.89,42.64,9.64
218,Astoria,90,US,1563909112,72,46.19,-123.83,70.0,8.05
219,Hluti,0,SZ,1563909112,19,-27.22,31.62,61.0,5.35
220,Tabou,63,CI,1563909112,83,4.42,-7.36,75.76,5.82
221,Fort Saint James,2,CA,1563909113,56,54.43,-124.25,68.74,2.57
222,Caravelas,70,BR,1563909113,72,-17.73,-39.27,76.12,11.99
223,Lorengau,100,PG,1563909113,81,-2.02,147.27,79.9,9.46
224,Altamont,75,US,1563909113,44,37.19,-95.3,82.4,6.93
225,Ust-Kuyga,73,RU,1563909113,55,70.0,135.55,58.66,4.0
226,Klaksvik,90,FO,1563909114,100,62.23,-6.59,55.4,16.11
227,Haines Junction,100,CA,1563909114,91,60.75,-137.51,50.2,4.68
228,Rafaela,100,AR,1563909114,56,-31.25,-61.49,52.0,7.0
229,Bollnas,53,SE,1563909114,64,61.35,16.39,71.26,2.06
230,Ribeira Grande,75,PT,1563909043,94,38.52,-28.7,73.4,17.22
231,Padang,100,ID,1563909114,79,-0.92,100.36,80.62,4.97
232,Mhlume,0,SZ,1563909115,62,-26.03,31.81,54.0,3.62
233,Kazuno,21,JP,1563909115,97,40.2,140.83,69.01,3.78
234,Victoria,75,SC,1563909115,78,-4.62,55.45,78.8,12.75
235,Krapina,0,HR,1563909115,73,46.16,15.87,86.0,2.24
236,Ati,0,TD,1563909116,42,13.21,18.34,91.06,6.13
237,Brokopondo,40,SR,1563909116,52,5.06,-54.98,90.0,6.93
238,Brigantine,90,US,1563909116,73,39.41,-74.36,78.01,5.37
239,Broome,0,AU,1563909116,66,-17.97,122.23,55.4,5.82
240,Alegrete,99,BR,1563909117,96,-29.79,-55.79,60.82,12.44
241,Port-Gentil,20,GA,1563909060,88,-0.72,8.78,75.2,9.17
242,Yulara,0,AU,1563909117,37,-25.24,130.99,50.0,8.05
243,Bonavista,100,CA,1563909117,80,48.65,-53.11,55.0,1.01
244,Kununurra,1,AU,1563909117,24,-15.77,128.74,71.6,6.93
245,Yima,69,CN,1563909117,58,34.75,111.87,75.04,2.39
246,Nizwa,22,OM,1563909097,66,22.93,57.53,78.1,9.66
247,Balvi,7,LV,1563909118,68,57.13,27.27,63.7,5.12
248,Chachapoyas,88,PE,1563909118,47,-6.23,-77.87,66.04,1.79
249,Donaueschingen,0,DE,1563909118,42,47.95,8.5,90.0,2.24
250,Katsuura,75,JP,1563908977,88,33.93,134.5,77.0,4.7
251,Tema,20,GH,1563909119,83,5.66,-0.01,78.8,16.11
252,Kodiak,40,US,1563909119,53,39.95,-94.76,79.0,9.17
253,Umm Lajj,0,SA,1563909119,78,25.02,37.27,85.3,2.24
254,Maniitsoq,0,GL,1563909119,80,65.42,-52.9,47.68,7.09
255,Port Hardy,40,CA,1563909119,72,50.7,-127.42,62.6,8.05
256,Half Moon Bay,5,US,1563909120,68,37.46,-122.43,81.0,9.17
257,Bykivka,87,UA,1563909120,87,50.29,27.97,61.18,7.29
258,Dwarka,40,IN,1563909120,66,28.58,77.04,91.4,5.82
259,Vestmannaeyjar,90,IS,1563909120,100,63.44,-20.27,53.6,5.82
260,Ichinohe,40,JP,1563909121,93,40.14,141.28,64.4,2.24
261,Kapaa,40,US,1563909121,74,22.08,-159.32,82.4,17.22
262,Farah,0,AF,1563909121,14,32.37,62.11,87.82,5.84
263,Kiunga,97,PG,1563909121,99,-6.12,141.3,71.08,1.81
264,Sulangan,88,PH,1563909121,75,11.14,123.72,81.7,6.64
265,Skibbereen,75,IE,1563909121,88,51.55,-9.27,62.6,9.17
266,Fort Smith,75,US,1563909122,47,35.39,-94.42,86.0,6.93
267,Kholodnyy,9,RU,1563909122,63,62.72,147.95,35.08,1.34
268,Saint George,20,BM,1563909122,66,32.38,-64.68,87.8,11.41
269,Luwuk,100,ID,1563909122,87,-0.95,122.79,56.14,5.64
270,Nuuk,75,GL,1563909123,81,64.17,-51.74,46.4,20.8
271,Cairns,75,AU,1563909029,77,-16.92,145.77,70.0,9.17
272,Zapolyarnyy,0,RU,1563909123,47,69.43,30.82,75.2,14.99
273,Marsh Harbour,57,BS,1563909123,74,26.54,-77.06,84.58,17.05
274,Husavik,90,IS,1563909123,71,66.04,-17.34,53.6,13.87
275,Matara,100,LK,1563909124,91,5.95,80.54,75.94,5.73
276,Sumenep,1,ID,1563909124,93,-7.02,113.87,70.18,5.03
277,Sistranda,75,NO,1563909124,82,63.73,8.83,64.99,4.7
278,Broken Hill,0,AU,1563909124,71,-31.97,141.45,50.0,10.29
279,Alvorada,75,BR,1563909124,100,-30.0,-51.08,66.0,4.7
280,San Cristobal,100,EC,1563909125,63,-1.02,-79.44,81.16,3.58
281,Cockburn Town,56,TC,1563909009,77,21.46,-71.14,83.14,17.02
282,Omsukchan,71,RU,1563909125,94,62.53,155.8,31.48,3.11
283,Cheb,0,CZ,1563909125,41,50.08,12.37,84.99,4.7
284,Kalianget,53,ID,1563909125,96,-7.74,113.68,61.54,1.66
285,Tjome,0,NO,1563909126,88,59.11,10.39,77.0,8.05
286,Thasra,20,IN,1563909126,66,22.8,73.21,91.4,8.05
287,Port Keats,0,AU,1563909126,31,-14.25,129.55,66.4,12.21
288,Chalus,20,IR,1563909126,88,36.66,51.42,78.8,2.57
289,Mantua,0,CU,1563909126,65,22.29,-84.28,84.4,6.96
290,Mamallapuram,75,IN,1563909127,94,12.63,80.17,80.6,2.24
291,Sambava,86,MG,1563909127,83,-14.27,50.17,62.26,2.8
292,Tarakan,63,ID,1563908969,83,3.3,117.63,79.36,3.11
293,Bhadrak,99,IN,1563909127,72,21.06,86.51,85.12,9.78
294,Den Helder,0,NL,1563909127,73,52.96,4.76,81.0,6.93
295,Constitucion,75,MX,1563909127,43,23.99,-104.67,75.99,6.93
296,Poirino,0,IT,1563909128,51,44.92,7.85,88.0,2.24
297,Coruripe,31,BR,1563909128,90,-10.12,-36.18,73.42,7.52
298,Natchitoches,40,US,1563909002,58,31.76,-93.09,84.2,10.29
299,Kruisfontein,58,ZA,1563909129,70,-34.0,24.73,52.72,9.4
300,Methoni,40,GR,1563909129,40,36.82,21.7,86.0,6.93
301,Hilo,75,US,1563909129,73,19.71,-155.08,82.0,4.7
302,Lagoa,0,PT,1563909129,78,37.14,-8.45,82.99,9.17
303,Kevsala,32,RU,1563909129,50,45.79,42.68,74.86,7.09
304,Taoudenni,6,ML,1563909129,9,22.68,-3.98,113.2,7.09
305,Lyuban,100,BY,1563909130,92,52.8,28.0,62.62,9.19
306,Port Alfred,16,ZA,1563909130,90,-33.59,26.89,54.0,1.01
307,Izumiotsu,75,JP,1563909130,94,34.51,135.41,82.99,3.36
308,Karratha,92,AU,1563909130,49,-20.74,116.85,66.94,7.18
309,Tias,20,ES,1563909130,69,28.96,-13.65,77.0,25.28
310,Andenes,20,NO,1563909131,72,69.31,16.12,68.0,18.34
311,Terrace,75,CA,1563909131,59,54.52,-128.61,66.2,5.82
312,Mildura,75,AU,1563909131,100,-34.18,142.16,46.99,4.7
313,Tanete,0,ID,1563909131,72,-3.94,119.78,77.2,22.17
314,Bukama,0,CD,1563909132,25,-9.2,25.85,69.28,2.62
315,Luba,40,GQ,1563909132,88,3.46,8.55,78.8,6.93
316,Vila Franca do Campo,75,PT,1563909132,94,37.72,-25.43,71.6,12.75
317,Pevek,100,RU,1563909132,96,69.7,170.27,30.22,12.68
318,Sitka,0,US,1563909132,48,37.17,-99.65,81.0,1.01
319,Savelugu,55,GH,1563909133,76,9.63,-0.83,81.16,6.69
320,Ponta do Sol,20,PT,1563909133,73,32.67,-17.1,73.4,3.36
321,New Norfolk,75,AU,1563909133,56,-42.78,147.06,44.6,13.87
322,Ruzsa,0,HU,1563909133,50,46.29,19.75,77.0,9.17
323,Dryden,1,CA,1563909133,53,49.79,-92.84,77.0,4.7
324,Sinnamary,0,GF,1563909134,77,5.38,-52.96,81.34,10.58
325,Contepec,0,MX,1563909134,76,19.95,-100.16,72.0,11.99
326,Koumac,2,NC,1563909134,69,-20.56,164.28,68.92,18.81
327,Hermanus,83,ZA,1563909134,96,-34.42,19.24,50.0,21.0
328,Carnarvon,90,AU,1563909064,77,-24.87,113.63,59.0,5.82
329,Muzhi,81,RU,1563909135,72,65.4,64.7,57.22,7.0
330,Misratah,0,LY,1563909135,75,32.38,15.09,79.36,12.84
331,Gouyave,40,GD,1563909135,74,12.16,-61.73,87.8,13.87
332,Conroe,90,US,1563909016,66,30.31,-95.46,84.99,6.93
333,Berlevag,0,NO,1563909135,41,70.86,29.09,75.2,13.87
334,Nanchang,37,CN,1563909135,91,28.68,115.89,77.56,3.96
335,Te Anau,0,NZ,1563909136,81,-45.41,167.72,40.66,0.31
336,Katangli,99,RU,1563909136,97,51.71,143.23,52.0,14.23
337,Trairi,48,BR,1563909136,56,-3.28,-39.27,84.04,9.1
338,Coquimbo,20,CL,1563909136,58,-29.95,-71.34,55.4,9.17
339,Santa Elena,75,EC,1563909137,73,-2.23,-80.86,77.0,8.75
340,Pyapon,100,MM,1563909137,88,16.29,95.68,80.62,6.87
341,Mayumba,56,GA,1563909137,89,-3.44,10.65,71.44,13.47
342,Hasaki,75,JP,1563909137,100,35.73,140.83,73.4,2.24
343,Avarua,4,CK,1563909137,60,-21.21,-159.78,75.2,13.87
344,Saint-Philippe,0,RE,1563909138,77,-21.36,55.77,69.8,18.34
345,Hami,91,CN,1563909138,31,42.84,93.51,77.02,3.53
346,Kontagora,60,NG,1563909138,84,10.4,5.47,77.38,3.24
347,Adre,32,TD,1563909138,58,13.47,22.2,82.06,10.4
348,Rio Gallegos,0,AR,1563909076,52,-51.62,-69.22,41.0,23.04
349,Chokurdakh,99,RU,1563909139,53,70.62,147.9,51.28,13.42
350,Macherla,97,IN,1563909139,78,16.48,79.44,78.46,9.89
351,Lompoc,1,US,1563909060,64,34.64,-120.46,89.6,14.99
352,Lahat,55,ID,1563909139,76,-3.78,103.55,65.14,4.03
353,Puerto Suarez,18,BO,1563909139,46,-18.96,-57.8,89.6,9.17
354,Eregli,0,TR,1563909139,43,37.51,34.05,71.98,5.77
355,Konevo,40,RU,1563909140,93,56.45,43.2,64.4,2.24
356,Tuktoyaktuk,75,CA,1563909140,81,69.44,-133.03,51.8,14.99
357,Nabire,100,ID,1563909140,99,-3.36,135.5,68.2,2.44
358,Nemuro,80,JP,1563909140,88,43.32,145.57,59.02,14.14
359,Castro,40,CL,1563909140,57,-42.48,-73.76,50.0,4.7
360,Paamiut,100,GL,1563909141,95,61.99,-49.67,40.48,4.32
361,Vire,0,FR,1563909141,30,48.84,-0.89,95.0,8.05
362,North Bend,90,US,1563908928,82,43.41,-124.22,68.0,10.29
363,Tabuk,20,SA,1563909068,9,28.38,36.58,96.8,9.17
364,Alofi,7,NU,1563909141,88,-19.06,-169.92,66.2,1.12
365,Ayagoz,100,KZ,1563909016,52,47.96,80.43,67.84,5.5
366,Erdaojiang,42,CN,1563909141,97,41.78,126.03,65.86,3.78
367,Timberlake,40,US,1563909142,49,32.26,-81.31,93.99,10.29
368,Fort Nelson,40,CA,1563909142,53,58.81,-122.69,75.2,2.24
369,Longyearbyen,75,SJ,1563908931,70,78.22,15.64,48.2,3.36
370,Homer,1,US,1563909142,77,59.64,-151.54,66.99,5.82
371,Qaanaaq,60,GL,1563909035,62,77.48,-69.36,43.18,5.59
372,De Aar,0,ZA,1563909142,56,-30.65,24.01,48.94,31.12
373,El Dorado,1,US,1563909143,39,37.82,-96.86,82.99,9.17
374,Wanaka,1,NZ,1563909143,93,-44.7,169.14,30.76,2.44
375,Xiaoshi,0,CN,1563909143,90,30.59,116.63,79.36,4.14
